133,Spring Grove,village,42.4507,-88.2402
134,Marseilles,city,41.2822,-88.6814
135,Plano,city,41.6804,-88.5363
136,Crest Hill,city,41.5744,-88.1133
137,Litchfield,city,39.1760,-89.6655
138,Marengo,city,42.2465,-88.5975
139,Lemont,village,41.6673,-87.9844
140,Libertyville,village,42.2847,-87.9665
141,Hillsboro,city,39.1762,-89.4729
142,Mokena,village,41.5299,-87.8777
143,Wheeling,village,42.1296,-87.9215
144,Oak Lawn,village,41.7139,-87.7528
145,Washington,city,40.7064,-89.4335
146,Rantoul,village,40.3026,-88.1549
147,Pontiac,city,40.8892,-88.6414
148,Cherry Valley,village,42.2352,-88.9751
149,Canton,city,40.5639,-90.0366
150,Harvard,city,42.4296,-88.6211
151,Waterloo,city,38.3412,-90.1527
152,Antioch,village,42.4772,-88.0671
153,Princeton,city,41.3806,-89.4641
154,Centralia,city,38.5221,-89.1235
155,Vandalia,city,38.9746,-89.1107
156,Hawthorn Woods,village,42.2358,-88.0675
157,Shorewood,village,41.5175,-88.2152
158,Bartonville,village,40.6420,-89.6598
159,North Chicago,city,42.3167,-87.8592
160,Oak Brook,village,41.8364,-87.9532
161,Poplar Grove,village,42.3511,-88.8438
162,Carpentersville,village,42.1227,-88.2939
163,Fox Lake,village,42.4282,-88.1839
164,Streamwood,village,42.0206,-88.1778
165,Evanston,city,42.0464,-87.6944
166,Vernon Hills,village,42.2344,-87.9611
167,Bethalto,village,38.9017,-90.0448
168,North Aurora,village,41.8087,-88.3420
169,Burr Ridge,village,41.7479,-87.9201
170,Lansing,village,41.5650,-87.5460
171,South Barrington,village,42.0890,-88.1572
172,Spring Valley,city,41.3229,-89.1834
173,Chatham,village,39.6745,-89.6933
174,Streator,city,41.1250,-88.8296
175,Caseyville,village,38.6290,-90.0345
176,Bradley,village,41.1637,-87.8465
177,South Elgin,village,41.9903,-88.3143
178,Johnsburg,village,42.3832,-88.2468
179,South Holland,village,41.5984,-87.6027
180,Marissa,village,38.2497,-89.7714
181,Calumet City,city,41.5965,-87.5386
182,Highland,city,38.7698,-89.6861
